loteNo;departamento_anonym;empresa_anonym;granja_anonym;proveedorCorregido_anonym;fabricaAlimento;genética;duracionCeba;edadFinal;edadInicial;pesoInicial;pesoFinal;fechaSalida;anioSalida;semesreSalida;anioSemestreSalida;asesor;numFinalAnimales;numInicialAnimales;mortalidad;conversionAlimenticia
5e4604c71c555bfa922bd644;dp_0;em_0;gr_0;pn_0;pp_0;lg_0;72;152;80;30.95;103.56;9/09/2019;2019;2;2019-S2;rt_0;220;226;2.65;2.176
5e4604c71c555bfa922bd68c;dp_0;em_0;gr_0;pn_0;pp_0;lg_0;81;154;73;26.61;100.64;23/10/2019;2019;2;2019-S2;rt_0;187;201;6.97;2.209
5e4604c71c555bfa922bd6b5;dp_0;em_0;gr_0;pn_0;pp_0;lg_0;79;152;73;28.32;102.07;19/11/2019;2019;2;2019-S2;rt_0;194;203;4.43;2.135
5ea0d184cbe8d10cee382f9b;dp_0;em_0;gr_0;pn_0;pp_0;lg_0;76;155;79;29.34;114.12;13/03/2020;2020;1;2020-S1;rt_0;203;208;2.4;2.105
5ef2216bde8636c49c3b8530;dp_0;em_0;gr_0;pn_0;pp_0;lg_0;74;154;80;34.04;118.64;1/04/2020;2020;1;2020-S1;rt_0;185;189;2.12;2.222
5ef2216bde8636c49c3b8539;dp_0;em_0;gr_0;pn_0;pp_0;lg_0;74;153;79;27.59;100.31;13/05/2020;2020;1;2020-S1;rt_0;202;203;0.49;2.049
5ef2216bde8636c49c3b8538;dp_0;em_0;gr_0;pn_0;pp_0;lg_0;74;153;79;29.57;109.92;6/05/2020;2020;1;2020-S1;rt_0;214;218;1.83;2.066
5f61495b47e46938e9de196e;dp_0;em_0;gr_0;pn_0;pp_0;lg_0;76;156;80;26.94;109.52;31/07/2020;2020;2;2020-S2;rt_0;223;226;1.33;1.913
606cc612764f08b435411baf;dp_0;em_1;gr_1;pn_0;pp_0;lg_0;99.6;168;68.4;24.6859;108.6552;1/02/2019;2019;1;2019-S1;rt_1;543;562;3.38;2.3414
606cc612764f08b435411bb2;dp_0;em_1;gr_1;pn_0;pp_0;lg_0;100.5;163.5;63;27.2278;109.7705;1/05/2019;2019;1;2019-S1;rt_1;532;539;1.3;2.22
606cc612764f08b435411bb0;dp_0;em_1;gr_1;pn_0;pp_0;lg_0;102.3;174.6;72.3;28.339;114.8196;1/03/2019;2019;1;2019-S1;rt_1;530;543;2.39;2.3327
606cc612764f08b435411bb1;dp_0;em_1;gr_1;pn_0;pp_0;lg_0;87.8;157.4;69.6;25.4426;109.764;1/04/2019;2019;1;2019-S1;rt_1;339;345;1.74;2.0582
606cc612764f08b435411bb3;dp_0;em_1;gr_1;pn_0;pp_0;lg_0;91.3;164.6;73.3;26.9264;108.7551;1/06/2019;2019;1;2019-S1;rt_1;433;447;3.13;2.265
606cc612764f08b435411bb6;dp_0;em_1;gr_1;pn_0;pp_0;lg_0;88;158.3;70.3;26.8351;96.4262;1/09/2019;2019;2;2019-S2;rt_1;207;222;6.76;2.3531
606cc612764f08b435411bb5;dp_0;em_1;gr_1;pn_0;pp_0;lg_0;94.5;165.5;71;25.5766;104.5026;1/08/2019;2019;2;2019-S2;rt_1;497;535;7.1;2.3135
606cc612764f08b435411bc1;dp_0;em_1;gr_1;pn_0;pp_0;lg_0;32.6;98.9;66.3;25.0968;101.4952;1/08/2020;2020;2;2020-S2;rt_1;622;651;4.45;2.4632
606cc612764f08b435411bb9;dp_0;em_1;gr_1;pn_0;pp_0;lg_0;90.3;164;73.7;25.9452;93.4072;1/12/2019;2019;2;2019-S2;rt_1;544;601;9.48;2.4764
606cc612764f08b435411bba;dp_0;em_1;gr_1;pn_0;pp_0;lg_0;19.6;92.6;73;24.6865;97.2081;1/01/2020;2020;1;2020-S1;rt_1;173;178;2.81;2.3022
